age,default,balance,housing,loan,day,duration,campaign,pdays,previous,y,divorced,married,single,primary,secondary,tertiary,cellular,telephone,unknown,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep
58,no,2143,yes,no,5,261,1,-1,0,no,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,no,265,yes,yes,5,348,1,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
25,no,-7,yes,no,5,365,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,no,-3,no,no,5,1666,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
24,no,-103,yes,yes,5,145,1,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
60,no,100,no,no,5,528,1,-1,0,no,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,no,1205,yes,no,5,158,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
54,no,282,yes,yes,5,154,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,no,91,no,no,5,349,1,-1,0,no,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
56,no,45,no,no,5,1467,1,-1,0,yes,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
41,no,1270,yes,no,5,1389,1,-1,0,yes,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
47,no,151,yes,no,5,190,1,-1,0,no,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
44,no,144,yes,no,5,247,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
43,no,41,yes,yes,5,127,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
